Login,Dvojnasobek,Suda cisla,Delitele,Faktorial,Ciferny soucet,Fibonacciho posloupnost,Nejvetsi spolecny delitel,Binarni zapis,Sachovnice,Vypis prvocisel,Pascaluv trojuhelnik,Mocniny dvojky,Tajna posloupnost,Soucet,Ctverec,Trojuhelnik,Pocet delitelu,Diamant,Cik-cak,Palindrom,Presmycky,Binarni cislo,Podmnoziny,Caesarova sifra,Velke X,Transpozicni sifra,Prvni pismena,Vsechny presmicky,Frekvencni analyza,Nejdelsi slovo
 U1, 20, 50,,,,,,,,,, 27,,,,,,,,, 84,, 19,,,, 209,,, 62
 U2, 41,, 81,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U7, 29, 31, 25, 31, 18, 38, 55, 67, 55, 102, 138, 18, 56, 13, 60, 25, 53, 56, 89, 22, 96, 62,, 97, 61, 82, 79, 303, 154, 86
 U22, 25, 17, 36, 14, 159, 68,,, 58,,, 38,, 21,, 53, 34,,, 107,,,,,,, 223,,,
 U23, 35, 40, 37, 42, 139, 113, 65,, 263,,, 16,, 23, 207, 80, 69,,, 33,,,,, 112,,,,,
 U25, 17, 35, 55, 42, 149, 267, 162, 310, 184, 127, 411, 70, 111, 29, 308, 160, 51,, 124, 135,, 184,, 303, 105,, 132,, 183, 150
 U28, 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U44, 32, 85, 28, 244, 92, 85, 180,,,,, 45,, 49,, 33, 89,,, 75,,,,,,,,,,
 U51, 43, 54, 59, 43, 120, 368, 267, 121, 101,,, 212, 266, 44, 324, 45, 63,, 110,,,,, 211,, 241, 368,, 164,
 U59, 106,,,,,,,,,,,,,,,,,, 518,,,,,,,,,,,
 U81, 22, 23, 22, 28,, 18, 51,,,,, 10,, 25, 69, 37, 29,,, 23,,,,,,,,,,
 U89, 39, 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U90, 31, 36, 66, 76,,,,,,,, 65,, 75,,,,,,,,,,,,,,,,
