name,Binarni cislo,Binarni zapis,Caesarova sifra,Ciferny soucet,Cik-cak,Ctverec,Delitele,Diamant,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Frekvencni analyza,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Podmnoziny,Presmycky,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Transpozicni sifra,Trojuhelnik,Velke X,Vsechny presmicky,Vypis prvocisel
Add,1.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00
Sub,1.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00,1.00,1.00,2.00,1.00,1.00,0.00,0.00,3.00,0.00,4.00,0.00,1.00,2.00,0.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00
Mult,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Div,1.00,2.00,3.00,1.00,0.00,6.00,1.00,3.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,3.00,0.00,0.00,3.00,3.00
For,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
While,0.00,1.00,0.00,0.00,3.00,1.00,1.00,3.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,4.00,0.00,3.00,0.00,1.00,1.00,0.00,2.00,3.00,1.00,1.00
Print,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mod,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
If,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,2.00
Eq,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Is,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,2.00
