name,Binarni cislo ,Binarni zapis ,Caesarova sifra ,Ciferny soucet ,Cik-cak ,Ctverec ,Delitele ,Diamant ,Dvojnasobek ,Faktorial ,Fibonacciho posloupnost ,Frekvencni analyza ,Mocniny dvojky ,Nejvetsi spolecny delitel ,Palindrom ,Pascaluv trojuhelnik ,Pocet delitelu ,Podmnoziny ,Presmycky ,Prvni pismena ,Sachovnice ,Soucet ,Suda cisla ,Tajna posloupnost ,Transpozicni sifra ,Trojuhelnik ,Velke X ,Vsechny presmicky ,Vypis prvocisel 
+, 1, 2, 3, 1, 0, 7, 1, 3, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 0, 1, 1, 1, 1, 2, 3, 0, 0, 3, 3
-,2,0,1,0,0,2,0,2,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,0,1
*,2,0,0,0,0,8,0,0,1,1,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
/,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
for,1,0,1,0,1,0,1,2,0,1,1,3,1,0,1,3,1,4,0,1,2,0,1,1,1,2,2,3,1
while,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
print,0,1,0,0,3,1,1,3,1,0,1,1,1,0,0,2,0,2,4,0,3,0,1,1,0,2,3,1,1
%,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
^,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
try:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
if,1,1,1,0,1,0,1,1,0,0,0,2,0,0,1,0,1,2,1,1,1,0,1,1,1,0,1,2,2
 break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,1,0,2,1,2
