name,Binarni cislo,Binarni zapis,Caesarova sifra,Ciferny soucet,Cik-cak,Ctverec,Delitele,Diamant,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Frekvencni analyza,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Podmnoziny,Presmycky,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Transpozicni sifra,Trojuhelnik,Velke X,Vsechny presmicky,Vypis prvocisel
+,1.00,2.00,3.00,1.00,0.00,7.00,1.00,3.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,3.00,0.00,0.00,3.00,3.00
-,2.00,0.00,1.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00
*,2.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
/,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
for,1.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00,1.00,1.00,3.00,1.00,1.00,0.00,0.00,3.00,1.00,4.00,0.00,1.00,2.00,0.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00
while,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
print,0.00,1.00,0.00,0.00,3.00,1.00,1.00,3.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,4.00,0.00,3.00,0.00,1.00,1.00,0.00,2.00,3.00,1.00,1.00
%,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
if,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,2.00
==,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,2.00
is,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
