['1900', '1633675', '38', 'ZGVmIGNyb3NzKG4pOiAgICBicmVhayAgICBmb3IgaSBpbiByYW5nZSgzKm4pOmJyZWFrICAgICAgICBmb3IgaiBpbiByYW5nZSgzKm4pOmJyZWFrICAgICAgICAgICAgaWYgaT49biBhbmQgaTxuK24gIG9yIGo PW4gYW5kIGo8bituIDpicmVhayAgICAgICAgICAgICAgICBwcmludCgiIyIsIGVuZD0iIilicmVhayAgICAgICAgIC', '1', '-1', '541100', '2017-12-05 16:36:01']
['1947', '1636379', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbiA PSA0MCBhbmQgbiA8PSA2MDpicmVhayAgICAgICAgcmV0dXJuIFRydWVicmVhayAgICBlbGlmIG4gPj0gMTQwIGFuZCBuPD0gMTYwOmJyZWFrICAgICAgICByZXR1cm4gVHJ1ZWJyZWFrICAgIGVsc2U6YnJlYWsgICAgICAgIHJldHVybiBGYWxzZWJyZWFr', '1', '-1', '180450', '2017-12-06 13:22:10']
['1994', '1162084', '34', 'ZGVmIG11bHRpcGxlcyhuKTpicmVhayAgICBwcmludCgiRGVzZXRpbuFzb2JlayIsIG4pYnJlYWs=', '0', '-1', '47450', '2017-12-06 19:07:19']
['2007', '1639340', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbiAtIDUwIDwgMTAgYW5kIG4gLSA1MCA IC0xMDpicmVhayAgICAgICAgcmV0dXJuIFRydWVicmVhayAgICBlbHNlOmJyZWFrICAgIAlyZXR1cm4gRmFsc2VicmVhaw==', '0', '-1', '162250', '2017-12-07 14:42:47']
['2009', '1639340', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbiAtIDUwIDw9IDEwIGFuZCBuIC0gNTAgPj0gLTEwOmJyZWFrICAgICAgICByZXR1cm4gVHJ1ZWJyZWFrICAgIGVsaWYgbiAtIDE1MCA8PSAxMCBhbmQgbiAtIDE1MCA PSAtMTA6YnJlYWsgICAgICAgIHJldHVybiBUcnVlYnJlYWsgICAgZWxzZTpicmVhayAgICAJcmV0dXJuIE', '1', '-1', '237100', '2017-12-07 14:44:03']
['2139', '1642757', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbiA IDM5IGFuZCBuIDwgNjEgb3IgbiA IDEzOSBhbmQgbiA8IDE2MTpicmVhayAgICAgICAgcmV0dXJuIFRydWVicmVhayAgICBlbHNlOmJyZWFrICAgICAgICByZXR1cm4gRmFsc2VicmVhaw==', '1', '-1', '165050', '2017-12-08 16:17:59']
['2203', '1609061', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbjw9NTArMTAgYW5kIG4 PTUwLTEwIG9yIG48PTE1MCsxMCBhbmQgbj49MTUwLTEwOmJyZWFrICAgICAgICByZXR1cm4gVHJ1ZWJyZWFrICAgIGVsc2U6YnJlYWsgICAgICAgIHJldHVybiBGYWxzZWJyZWFr', '1', '-1', '193100', '2017-12-09 17:01:40']
['2331', '1646800', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbi0xMD49NDAgYW5kIG4rMTA8PTYwIG9yIG4tMTA PTE0MCBhbmQgbisxMDw9MTYwOmJyZWFrICAgIAlyZXR1cm4gVHJ1ZWJyZWFrICAgIGVsc2U6YnJlYWsgICAgCXJldHVybiBGYWxzZWJyZWFr', '0', '-1', '307850', '2017-12-10 16:02:00']
['2334', '1646800', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgbj49NDAgYW5kIG48PTYwIG9yIG4 PTE0MCBhbmQgbjw9MTYwOiBicmVhayAgICAJcmV0dXJuIFRydWVicmVhayAgICBlbHNlOmJyZWFrICAgIAlyZXR1cm4gRmFsc2VicmVhaw==', '1', '-1', '440250', '2017-12-10 16:04:38']
['2363', '1647065', '32', 'ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgcmV0dXJuIG4gPj0gNDAgYW5kIG4gPD0gNjAgb3IgbiA PSAxNDAgYW5kIG4gPD0gMTYw', '1', '-1', '56800', '2017-12-10 17:09:01']
['2364', '1647048', '33', 'ZGVmIGltcG9zZV9maW5lKGFnZSwgYmVlcik6YnJlYWsgICAgaWYgKGFnZSA IDE4IGFuZCBiZWVyKSBvciAoIGFnZSA8IDE4IGFuZCBub3QgYmVlcik6YnJlYWsgICAgICAgIHJldHVybiBGYWxzZWJyZWFrICAgIGVsc2U6YnJlYWsgICAgICAgIHJldHVybiBUcnVl', '1', '-1', '281650', '2017-12-10 17:10:58']
