id;name;instructions;democode;testcode;solution;tests;medianTime;visible
1;Výpis čísel;[["html","Napište funkci <b>numbers(n)</b>, která vypíše prvních <i>n</i> přirozených čísel. "]];[["python64","ZGVmIG51bWJlcnMobik6CiAgICBwcmludChuKQo="]];[["python64","bnVtYmVycygxMCkK"]];[["python64","ZGVmIG51bWJlcnMobik6CiAgICBmb3IgaSBpbiByYW5nZSgxLCBuICsgMSk6CiAgICAgICAgcHJpbnQoaSkKICAgIHByaW50KCkK"]];[["python64","bnVtYmVycygzKQo="],["python64","bnVtYmVycyg1KQo="],["python64","bnVtYmVycygyMCkK"]];0;1
2;Fibonacciho posloupnost;[["html","Napište funkci <b>fibonacci(n)</b>, která vypíše prvních <i>n</i> členů Fibonacciho posloupnosti (první dva členy jsou 1, každý další je součtem dvou předchozích). "]];[["python64","ZGVmIGZpYm9uYWNjaShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgCXByaW50KGkpCg=="]];[["python64","Zmlib25hY2NpKDEwKQo="]];[["python64","ZGVmIGZpYm9uYWNjaShuKToKICAgIGN1cnJlbnQgPSAxCiAgICBuZXh0ID0gMQogICAgZm9yIGkgaW4gcmFuZ2Uobik6CiAgICAgICAgcHJpbnQoY3VycmVudCkKICAgICAgICBuZXh0X25leHQgPSBjdXJyZW50ICsgbmV4dAogICAgICAgIGN1cnJlbnQgPSBuZXh0CiAgICAgICAgbmV4dCA9IG5leHRfbmV4dAo="]];[["python64","Zmlib25hY2NpKDUpCg=="],["python64","Zmlib25hY2NpKDE1KQo="],["python64","Zmlib25hY2NpKDIwKQo="]];0;1
3;Faktoriál;[["html","Napište funkci <b>factorial(n)</b> vrátí faktoriál <i>n</i> (součin všech čísel od 1 do n). "]];[["python64","ZGVmIGZhY3RvcmlhbChuKToKICAgIHJldHVybiAxCg=="]];[["python64","cHJpbnQoZmFjdG9yaWFsKDUpKQo="]];[["python64","ZGVmIGZhY3RvcmlhbChuKToKICAgIHZhbHVlID0gMQogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbiArIDEpOgogICAgICAgIHZhbHVlICo9IGkKICAgIHJldHVybiB2YWx1ZQo="]];[["python64","cHJpbnQoZmFjdG9yaWFsKDYpKQo="],["python64","cHJpbnQoZmFjdG9yaWFsKDgpKQo="],["python64","cHJpbnQoZmFjdG9yaWFsKDEpKQo="],["python64","cHJpbnQoZmFjdG9yaWFsKDEwKSkK"]];0;1
4;Abeceda;[["html","Napište funkci <b>alphabet(n)</b>, která vypíše prvních <i>n</i> písmen anglické abecedy. Pokud je <i>n</i> větší jak 26, písmena jsou vypisována opakovaně. "]];[["python64","ZGVmIGFscGhhYmV0KG4pOgogICAgZm9yIGkgaW4gcmFuZ2Uobik6CiAgICAgICAgcHJpbnQoJ0EnKQo="]];[["python64","YWxwaGFiZXQoMzApCg=="]];[["python64","ZGVmIGFscGhhYmV0KG4pOgogICAgZm9yIGkgaW4gcmFuZ2Uobik6CiAgICAgICAgcHJpbnQoY2hyKG9yZCgnQScpK2klMjYpKQogICAgcHJpbnQoKQo="]];[["python64","YWxwaGFiZXQoMTApCg=="],["python64","YWxwaGFiZXQoNDApCg=="],["python64","YWxwaGFiZXQoMSkK"],["python64","YWxwaGFiZXQoNikK"],["python64","YWxwaGFiZXQoODApCg=="]];0;1
5;Zdvojení znaků;[["html","Napište funkci <b>duplication(text)</b>, která pro zadaný řetězec vrátí řetězec, ve kterém je každé písmeno duplikováno. "]];[["python64","ZGVmIGR1cGxpY2F0aW9uKHRleHQpOgogICAgcmV0dXJuIHRleHQK"]];[["python64","cHJpbnQoZHVwbGljYXRpb24oIlBZVEhPTiIpKQo="]];[["python64","ZGVmIGR1cGxpY2F0aW9uKHRleHQpOgogICAgb3V0cHV0ID0gIiIKICAgIGZvciBjaGFyIGluIHRleHQ6CiAgICAgICAgb3V0cHV0ICs9IGNoYXIgKyBjaGFyCiAgICByZXR1cm4gb3V0cHV0Cg=="]];[["python64","cHJpbnQoZHVwbGljYXRpb24oIkFBIikpCg=="],["python64","cHJpbnQoZHVwbGljYXRpb24oIkFCQ0QiKSkK"],["python64","cHJpbnQoZHVwbGljYXRpb24oImhlbGxvIikpCg=="],["python64","cHJpbnQoZHVwbGljYXRpb24oIkJybm8iKSkK"],["python64","cHJpbnQoZHVwbGljYXRpb24oInh5elhZWiIpKQo="]];0;1
6;Součin nenulových;[["html","Napište funkci <b>nonzero_product(numbers)</b>, která pro zadaný seznam čísel <i>numbers</i> vrátí součin všech nenulových čísel v seznamu. "]];[["python64","ZGVmIG5vbnplcm9fcHJvZHVjdChudW1iZXJzKToKICAgIHJldHVybiAwCg=="]];[["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFs0LCAwLCAyLCAwLCAwLCAzXSkpCg=="]];[["python64","ZGVmIG5vbnplcm9fcHJvZHVjdChudW1iZXJzKToKICAgIHByb2R1Y3QgPSAxCiAgICBmb3IgbiBpbiBudW1iZXJzOgogICAgICAgIGlmIG4gIT0gMDoKICAgICAgICAgICAgcHJvZHVjdCAqPSBuCiAgICByZXR1cm4gcHJvZHVjdAo="]];[["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFswLCAyLCAzLCAxLCA4LCAzXSkpCg=="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFswLCAwLCAxLCAwLCAwXSkpCg=="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFswLCAtMiwgLTMsIDAsIC0xLCAtNV0pKQo="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFsxLCAyLCAzLCA0LCA1LCA2XSkpCg=="],["python64","cHJpbnQobm9uemVyb19wcm9kdWN0KFszLCAzLCAyLCAzLCAzXSkpCg=="]];0;1
7;Dělitelé;[["html","Napište funkci <b>divisors(n)</b>, která vypíše popořadě všechny přirozená čísla, která dělí <i>n</i>. "]];[["python64","ZGVmIGRpdmlzb3JzKG4pOgogICAgcHJpbnQoMSkK"]];[["python64","ZGl2aXNvcnMoMjQpCg=="]];[["python64","ZGVmIGRpdmlzb3JzKG4pOgogICAgZm9yIGkgaW4gcmFuZ2UoMSwgbiArIDEpOgogICAgICAgIGlmIG4gJSBpID09IDA6CiAgICAgICAgICAgIHByaW50KGkpCiAgICBwcmludCgpCg=="]];[["python64","ZGl2aXNvcnMoNSkK"],["python64","ZGl2aXNvcnMoMzYpCg=="],["python64","ZGl2aXNvcnMoMSkK"],["python64","ZGl2aXNvcnMoMTAwKQo="],["python64","ZGl2aXNvcnMoMTAxKQo="],["python64","ZGl2aXNvcnMoMTAyKQo="],["python64","ZGl2aXNvcnMoNDgpCg=="],["python64","ZGl2aXNvcnMoMjMpCg=="]];0;1
8;Čtverec;[["html","Napište funkci <b>square(n)</b>, která vykreslí čtverec ze znaků mřížky o velikosti <i>n</i>. "]];[["python64","ZGVmIHNxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KCIjIiwgZW5kPSIgIikKICAgIHByaW50KCkK"]];[["python64","c3F1YXJlKDUpCg=="]];[["python64","ZGVmIHNxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIGZvciBqIGluIHJhbmdlKG4pOgogICAgICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQoK"]];[["python64","c3F1YXJlKDMpCg=="],["python64","c3F1YXJlKDYpCg=="],["python64","c3F1YXJlKDEpCg=="],["python64","c3F1YXJlKDcpCg=="],["python64","c3F1YXJlKDIpCg=="]];0;1
9;Prázdný čtverec;[["html"," Napište funkci <b>empty_square(n)</b>, která vykreslí textový čtverec o velikosti <i>n</i>, který má uprostřed tečky a na kraji mřížky. "]];[["python64","ZGVmIGVtcHR5X3NxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIHByaW50KCIjIiwgZW5kPSIgIikKICAgIHByaW50KCkJCg=="]];[["python64","ZW1wdHlfc3F1YXJlKDUpCg=="]];[["python64","ZGVmIGVtcHR5X3NxdWFyZShuKToKICAgIGZvciBpIGluIHJhbmdlKG4pOgogICAgICAgIGZvciBqIGluIHJhbmdlKG4pOgogICAgICAgICAgICBpZiBpID09IDAgb3IgaiA9PSAwIG9yIGkgPT0gbiAtMSBvciBqID09IG4gLTE6CiAgICAgICAgICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICAgICAgICAgIGVsc2U6CiAgICAgICAgICAgICAgICBwcmludCgiLiIsIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQoK"]];[["python64","ZW1wdHlfc3F1YXJlKDYpCg=="],["python64","ZW1wdHlfc3F1YXJlKDEpCg=="],["python64","ZW1wdHlfc3F1YXJlKDQpCg=="],["python64","ZW1wdHlfc3F1YXJlKDIpCg=="],["python64","ZW1wdHlfc3F1YXJlKDcpCg=="]];0;1
10;Pyramida;[["html","Napište funkci <b>pyramid(n)</b>, která vykreslí textový obrázek pyramidy o výšce <i>n</i>. "]];[["python64","ZGVmIHB5cmFtaWQobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBwcmludCgiIyIsIGVuZD0iICIpCiAgICBwcmludCgpCQo="]];[["python64","cHlyYW1pZCg1KQo="]];[["python64","ZGVmIHB5cmFtaWQobik6CiAgICBmb3IgaSBpbiByYW5nZShuKToKICAgICAgICBmb3IgaiBpbiByYW5nZSgyICogbiAtIDEpOgogICAgICAgICAgICBpZiBqID49IG4gLSAxIC0gaSBhbmQgaiA8PSBuIC0gMSArIGk6CiAgICAgICAgICAgICAgICBwcmludCgnIycsIGVuZD0iICIpCiAgICAgICAgICAgIGVsc2U6CiAgICAgICAgICAgICAgICBwcmludCgnICcsIGVuZD0iICIpCiAgICAgICAgcHJpbnQoKQoK"]];[["python64","cHlyYW1pZCg2KQo="],["python64","cHlyYW1pZCgxMCkK"],["python64","cHlyYW1pZCgxKQo="],["python64","cHlyYW1pZCgyKQo="],["python64","cHlyYW1pZCg3KQo="]];0;1
