id;user;item;answer;correct;moves;responseTime;time
1892;1618258;28;ZGVmIHN0cmluZ196aXAodGV4dDEsIHRleHQyKTpicmVhayAgICByX3RleHQ9IiJicmVhayAgICBmb3IgaSBpbiByYW5nZShtYXgobGVuKHRleHQxKSwgbGVuKHRleHQyKSkpOmJyZWFrICAgICAgICBpZiBpPGxlbih0ZXh0MSk6YnJlYWsgICAgICAgICAgICByX3RleHQrPXRleHQxW2ldYnJlYWsgICAgICAgIGlmIGk8bGVuKHRleH;1;-1;178950;2017-12-05 15:23:10
1893;1633675;34;ZGVmIG11bHRpcGxlcyhuKTpicmVhayAgICBwcmludCgiRHZvam5hc29iZWsiLCBuKjIpYnJlYWsgICAgcHJpbnQoIlRyb2puYXNvYmVrIiwgbiozKWJyZWFrICAgIHByaW50KCJEZXNldGluYXNvYmVrIiwgbioxMCk=;1;-1;119700;2017-12-05 16:10:40
1894;1633675;32;ZGVmIG5lYXJfZmlmdHkobik6YnJlYWsgICAgaWYgYWJzKG4tNTApPD0xMCBvciBhYnMobi0xNTApPD0xMDpicmVhayAgICAgICAgcmV0dXJuIFRydWVicmVhayAgICByZXR1cm4gRmFsc2VicmVhaw==;1;-1;143750;2017-12-05 16:13:08
1895;1633675;33;ZGVmIGltcG9zZV9maW5lKGFnZSwgYmVlcik6YnJlYWsgICAgaWYgYWdlPDE4IGFuZCBiZWVyOmJyZWFrICAgICAgICByZXR1cm4gVHJ1ZWJyZWFrICAgIHJldHVybiBGYWxzZWJyZWFr;1;-1;58150;2017-12-05 16:14:12
1896;1633675;35;ZGVmIHNlcXVlbmNlcyhuKTpicmVhayAgICBmb3IgaSBpbiByYW5nZSgxLCBuKzEpOmJyZWFrICAgICAgICBmb3IgaiBpbiByYW5nZSgxLCBpKzEpOmJyZWFrICAgICAgICAgICAgcHJpbnQoaiwgZW5kPSIgIilicmVhayAgICAgICAgcHJpbnQoKWJyZWFr;1;-1;435500;2017-12-05 16:24:07
1897;1633675;36;ZGVmIHByb2R1Y3RzKG4pOmJyZWFrICAgIGZvciByb3cgaW4gcmFuZ2UoMSwgbisxKTpicmVhayAgICAgICAgZm9yIGNvbCBpbiByYW5nZSgxLCBuKzEpOmJyZWFrICAgICAgICAgICAgcHJpbnQocm93ICogY29sLCBlbmQ9IiAiKWJyZWFrICAgICAgICBwcmludCgpYnJlYWs=;1;-1;63350;2017-12-05 16:25:15
1898;1633675;37;ZGVmIHN0YXJzKG4pOmJyZWFrICAgIGZvciBpIGluIHJhbmdlKDEsIDErbik6YnJlYWsgICAgICAgIHByaW50KCIqIiwgZW5kPSIiKWJyZWFrICAgICAgICBpZiBpICUgNSA9PSAwOmJyZWFrICAgICAgICAgICAgcHJpbnQoInwiLCBlbmQ9IiIpYnJlYWsgICAgcHJpbnQoKWJyZWFr;1;-1;98400;2017-12-05 16:26:55
1899;1553567;8;ZGVmIHNxdWFyZShuKTpicmVhayAgICBmb3IgaSBpbiByYW5nZShuKTpicmVhayAgICAgICAgcHJpbnQoIiMiLCBlbmQ9IiAiKWJyZWFrICAgIHByaW50KClicmVhaw==;0;-1;2150;2017-12-05 16:32:15
1900;1633675;38;ZGVmIGNyb3NzKG4pOiAgICBicmVhayAgICBmb3IgaSBpbiByYW5nZSgzKm4pOmJyZWFrICAgICAgICBmb3IgaiBpbiByYW5nZSgzKm4pOmJyZWFrICAgICAgICAgICAgaWYgaT49biBhbmQgaTxuK24gIG9yIGo PW4gYW5kIGo8bituIDpicmVhayAgICAgICAgICAgICAgICBwcmludCgiIyIsIGVuZD0iIilicmVhayAgICAgICAgIC;1;-1;541100;2017-12-05 16:36:01
1901;1633675;1;ZGVmIG51bWJlcnMobik6YnJlYWsgICAgZm9yIGkgaW4gcmFuZ2UoMSwgbisxKTpicmVhayAgICAJcHJpbnQoaSlicmVhaw==;1;-1;184000;2017-12-05 16:40:35
1902;1633675;2;ZGVmIGZpYm9uYWNjaShuKTpicmVhayAgICB4MSA9IDBicmVhayAgICB4MiA9IDFicmVhayAgICBmb3IgaSBpbiByYW5nZShuKTpicmVhayAgICAgICAgcHJpbnQoeDIpYnJlYWsgICAgICAgIGEgPSB4MWJyZWFrICAgICAgICB4MSA9IHgyYnJlYWsgICAgICAgIHgyID0gYSArIHgy;1;-1;710700;2017-12-05 16:52:45
1903;1633675;3;ZGVmIGZhY3RvcmlhbChuKTpicmVhayAgICBpZiBuID09IDA6YnJlYWsgICAgCXJldHVybiAxYnJlYWsgICAgZWxzZTpicmVhayAgICAgICAgcmV0dXJuIG4qZmFjdG9yaWFsKG4tMSlicmVhaw==;1;-1;71950;2017-12-05 16:53:59
1904;1633675;7;ZGVmIGRpdmlzb3JzKG4pOmJyZWFrICAgIGZvciBpIGluIHJhbmdlKDEsIG4rMSk6YnJlYWsgICAgCWlmIG4gJSBpID09IDA6YnJlYWsgICAgICAgIAlwcmludChpKWJyZWFr;1;-1;68700;2017-12-05 16:55:11
1905;1633675;18;ZGVmIGRpZ2l0X3N1bShuKTpicmVhayAgICBpZiBuPDEwOmJyZWFrICAgIAlyZXR1cm4gbmJyZWFrICAgIGVsc2U6YnJlYWsgICAgICAgIHJldHVybiBuJTEwK2RpZ2l0X3N1bShuLy8xMClicmVhaw==;1;-1;120400;2017-12-05 16:57:15
1906;1633675;20;ZGVmIGRpdmlzb3JzX2NvdW50KG4pOmJyZWFrICAgIGNvdW50ID0gMGJyZWFrICAgIGZvciBpIGluIHJhbmdlKDEsIG4rMSk6YnJlYWsJCWlmIG4gJSBpID09IDA6YnJlYWsJCQljb3VudCArPSAxYnJlYWsgICAgcmV0dXJuIGNvdW50YnJlYWs=;1;-1;83200;2017-12-05 16:58:42
1907;1633675;21;ZGVmIHBvd2VycyhiYXNlLCBuKTpicmVhayAgICBmb3IgaSBpbiByYW5nZSgxLG4rMSk6YnJlYWsgICAgCXByaW50KGJhc2UqKmkpYnJlYWs=;1;-1;46850;2017-12-05 16:59:32
1908;1633905;6;ZGVmIG5vbnplcm9fcHJvZHVjdChudW1iZXJzKTpicmVhayAgICBzdW1hID0gMWJyZWFrICAgIGZvciBpIGluIG51bWJlcnM6YnJlYWsgICAgICAgIGlmIGkgIT0gMDpicmVhayAgICAgICAgICAgIHN1bWEgKj0gaSBicmVhayAgICByZXR1cm4gc3VtYWJyZWFr;1;-1;92500;2017-12-05 17:10:07
1909;1633905;15;ZGVmIGV2ZXJ5X3NlY29uZF9udW1iZXIobnVtX2xpc3QpOmJyZWFrICAgIGZvciBpIGluIHJhbmdlKDAsbGVuKG51bV9saXN0KSwyKTpicmVhayAgICAgICAgcHJpbnQobnVtX2xpc3RbaV0p;1;-1;92950;2017-12-05 17:11:44
1910;1633905;16;ZGVmIG1heF9wYWlyX3N1bShudW1fbGlzdCk6YnJlYWsgICAgbWF4ID0gMGJyZWFrICAgIGZvciBpIGluIHJhbmdlKGxlbihudW1fbGlzdCkpOmJyZWFrICAgICAgICB0cnk6YnJlYWsgICAgICAgIAlhID0gbnVtX2xpc3RbaV0gKyBudW1fbGlzdFtpKzFdYnJlYWsgICAgICAgIAlpZiBhID4gbWF4OmJyZWFrICAgICAgICAgICAgCW;1;-1;120450;2017-12-05 17:13:48
1911;1633905;17;ZGVmIGZpdmVfbXVsdGlwbGVzKG51bV9saXN0KTpicmVhayAgICByZXN1bHQgPSBbXWJyZWFrICAgIGZvciBpIGluIG51bV9saXN0OmJyZWFrICAgICAgICBpZiBpICUgNSA9PSAwOmJyZWFrICAgICAgICAgICAgcmVzdWx0LmFwcGVuZChpKWJyZWFrICAgIHJldHVybiByZXN1bHRicmVhaw==;1;-1;74750;2017-12-05 17:15:08
