name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Abeceda;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00
Blizko padesatky;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Cenzura;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00
Ciferny soucet;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00
Cik-cak;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00
Ctverec;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00
Delitele;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00
Faktorial;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Fibonacciho posloupnost;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Hvezdicky;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00
Je Honza stastny;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
Kazde druhe cislo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Kriz;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;2.00;0.00
Licha a suda;2.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;2.00;2.00;0.00
Maximalni sousedi;2.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Mocniny;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Nasobky;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Nejcastejsi prvek;
