id;parent;weight;exercise;type;grade;class;topic;examples;url;mapId;visible;ordering
1;2;1;26;basic;1;6;;;rozhodovacka-promenne-vyrazy;0;1;0
2;4;1;26;basic;1;6;;;rozhodovacka-cyklus-for;0;1;0
3;5;1;26;basic;1;6;;;rozhodovacka-cyklus-while;0;1;0
4;6;1;34;basic;1;0;Lehké;;robotanik-lehke;0;1;0
5;6;1;34;basic;1;0;Středně těžké;;robotanik-stredni;0;1;0
6;6;1;34;basic;1;0;Těžké;;robotanik-tezke;0;1;0
7;6;1;34;basic;1;0;Opravdová výzva;;robotanik-opravdova-vyzva;0;1;0
9;15;1;35;basic;1;0;;;interaktivni-python-seznamy;0;1;10
10;14;1;35;basic;1;0;;;interaktivni-python-retezce;0;1;8
11;12;1;35;basic;1;0;Textové obrázky;;interaktivni-python-vnorene-cykly;0;1;5
12;17;1;35;basic;1;0;Počítání s čísly;;interaktivni-python-rizeni-vypoctu;0;1;2
13;15;1;26;basic;1;0;;;rozhodovacka-seznamy-1-uroven;0;1;0
14;18;1;26;basic;1;0;;;rozhodovacka-logicke-1-uroven;0;1;0
15;15;1;26;basic;2;0;;;rozhodovacka-seznamy-2-uroven;0;1;0
16;16;1;26;basic;1;0;;;rozhodovacka-funkce-1-uroven;0;1;0
17;14;1;26;basic;1;0;;;rozhodovacka-retezce-1-uroven;0;1;0
18;20;1;35;basic;1;0;;;interaktivni-python-promenne-vyrazy;0;1;0
19;21;1;36;basic;1;0;Binární čísla;;binarni-krizovka-binarni-cisla;0;1;2
20;21;1;36;basic;1;0;Křížovky: středně těžké;;binarni-krizovka-stredne-tezke;0;1;4
21;21;1;36;basic;1;0;Křížovky: těžké;;binarni-krizovka-tezke;0;1;6
23;21;1;36;basic;1;0;Křížovky: opravdová výzva;;binarni-krizovka-opravdova-vyzva;0;1;10
25;22;1;37;basic;1;0;Lehké;;sudoku-lehke;0;1;0
26;22;1;37;basic;1;0;Středně těžké;;sudoku-stredni;0;1;0
27;22;1;37;basic;1;0;Těžké;;sudoku-tezke;0;1;0
28;6;1;34;basic;1;0;Trénink;;robotanik-trenink;0;1;-1
29;21;1;36;basic;1;0;Trénink;;binarni-krizovka-trenink;0;1;-1
30;21;1;36;basic;1;0;Logické výrazy;;binarni-krizovka-logicke;0;1;1
31;23;1;26;basic;1;0;;;rozhodovacka-podmineny-prikaz-1-uroven;0;1;0
32;24;1;26;basic;1;0;;;rozhodovacka-slovniky;0;1;0
33;17;1;35;basic;1;0;Úpravy programů;;interaktivni-python-upravy-programu;0;1;0
34;1;1;12;combined;1;6;;;tymovka-promenne-vyrazy;0;1;0
35;18;1;12;combined;1;7;;;tymovka-logicke-vyrazy;0;1;0
36;4;1;12;combined;1;6;;;tymovka-cyklus-for;0;1;0
37;5;1;12;combined;1;6;;;tymovka-cyklus-while;0;1;0
38;16;1;12;combined;1;6;;;tymovka-funkce;0;1;0
39;14;1;12;combined;1;6;;;tymovka-retezce;0;1;0
40;15;1;12;combined;1;6;;;tymovka-seznamy;0;1;0
41;25;1;38;basic;1;0;Trénink;;zelvi-grafika-trenink;0;0;0
42;25;1;38;basic;1;0;Jednoduché kreslení;;zelvi-grafika-jednoduche;0;1;2
43;25;1;38;basic;1;0;Základy;;zelvi-grafika-zaklady;0;1;1
44;25;1;38;basic;1;0;Kreslení;;zelvi-grafika-kresleni;0;1;3
46;25;1;38;basic;1;0;Vzory s opakováním;;zelvi-grafika-vnorene-cykly;0;1;5
47;25;1;38;basic;1;0;Proměnné;;zelvi-grafika-promenne;0;1;7
48;26;1;39;basic;1;0;;;gogobot-trenink;0;1;0
49;25;1;38;basic;1;0;Želví experimentárium;;zelvi-grafika-experimentarium;0;1;20
