,Binarni cislo.txt ,Binarni zapis.txt ,Caesarova sifra.txt ,Ciferny soucet.txt ,Cik-cak.txt ,Ctverec.txt ,Delitele.txt ,Dvojnasobek.txt ,Faktorial.txt ,Fibonacciho posloupnost.txt ,Frekvencni analyza.txt ,Mocniny dvojky.txt ,Nejdelsi slovo.txt ,Nejvetsi spolecny delitel.txt ,Palindrom.txt ,Pascaluv trojuhelnik.txt ,Pocet delitelu.txt ,Podmnoziny.txt ,Presmycky.txt ,Prvni pismena.txt ,Sachovnice.txt ,Soucet.txt ,Suda cisla.txt ,Tajna posloupnost.txt ,Transpozicni sifra.txt ,Velke X.txt ,Vsechny presmicky.txt ,Vypis prvocisel.txt 
Binarni cislo.txt ,1.0,0.44022237365844896,0.8307389406086741,0.22159616272633997,0.3325361552224877,0.8174496938858504,0.576086956521739,0.32223120883160916,0.46182084825957337,0.7993052538854533,0.7501000200044458,0.3222312088316091,0.5734146386569562,0.44022237365844924,0.7993052538854533,0.3623674707175818,0.576086956521739,0.6053026551633699,0.6497177024233098,0.6306720185254062,0.4235682429339709,0.43694239159921033,0.34752402342845823,0.3773334631358139,0.5400251033128812,0.461820848259573,0.3520128456154138,0.5816899271566417
Binarni zapis.txt ,0.44022237365844896,1.0,0.7387600438345172,0.7402639268673584,0.24326196033866895,0.6383773343275515,0.7906034465702755,0.5649572147583884,0.3585792438550066,0.25851824532964196,0.5758996353231836,-0.06456653882953012,0.4452258669566055,0.7103960396039594,0.4452258669566052,0.26956007751715755,0.7906034465702755,0.5852646012406238,0.5951364413341547,0.7361043734923352,0.6625474230185117,0.4815337998347198,0.2585182453296421,0.0940594059405941,0.7764670758031549,0.13302133239782496,0.3547580992945927,0.8890798709283223
Caesarova sifra.txt ,0.8307389406086741,0.7387600438345172,1.0,0.4052378564289539,0.4483140385694192,0.8617383576326163,0.8307389406086739,0.5172288281066613,0.5347884200839771,0.5785468513420388,0.8224041267636256,0.2290584810186641,0.7494811483294597,0.6503807747868288,0.7494811483294589,0.425022503184223,0.8307389406086739,0.7230697584041751,0.8768816014840618,0.8995204257747703,0.651378273793336,0.5711052061325395,0.40761255435461863,0.35125094108696353,0.7938758188193082,0.12178350160328161,0.4159150970862629,0.8820910236923355
Ciferny soucet.txt ,0.22159616272633997,0.7402639268673584,0.4052378564289539,1.0,0.0681832556918211,0.4166305453899286,0.5816899271566417,0.4230217115244225,0.2585578199627904,0.17712297710801947,0.3270826174137327,-0.06220907522417988,0.1771229771080195,0.5914479828063947,0.17712297710801933,0.08464878322912464,0.5816899271566417,0.35895272505377235,0.2938709471402036,0.44806139454625243,0.6383563874620208,0.35429058925108176,0.4649478149085508,0.05342110812444874,0.5734067261272264,-0.08915786895268651,0.32262468489949975,0.6558823529411765
Cik-cak.txt ,0.3325361552224877,0.24326196033866895,0.4483140385694192,0.0681832556918211,1.0,0.2676296632892664,0.4816040868739476,0.3502363984578889,0.5019578060538683,0.3849486769310527,0.27080462964500074,0.3502363984578895,0.38494867693105284,0.24326196033866898,0.14664711502135347,0.7326971382100511,0.4816040868739476,0.7670744591018864,0.474746097278589,0.528225806451613,0.40359746476915265,0.4749171569140463,0.38494867693105306,0.6602824637763881,0.47474609727858963,-0.07381732441968658,0.7752813170348523,0.3530918598326446
Ctverec.txt ,0.8174496938858504,0.6383773343275515,0.8617383576326163,0.4166305453899286,0.2676296632892664,1.0,0.6708725073959737,0.3342554190045202,0.47905391194027674,0.5948118774794625,0.8455248551649766,0.33425541900452005,0.7119717927405694,0.6383773343275521,0.711971792740569,0.37588938451213094,0.6708725073959737,0.5765529076855156,0.7877480566078827,0.7315210796573264,0.4700828205022326,0.4532471038866811,0.3604920469572504,0.3914138400256527,0.6170693110095082,0.195976600339204,0.49006755145199044,0.7901613791877939
Delitele.txt ,0.576086956521739,0.7906034465702755,0.8307389406086739,0.5816899271566417,0.4816040868739476,0.6708725073959737,1.0,0.703049910178054,0.734714985867503,0.5734146386569559,0.620082683203675,0.322231208831609,0.5734146386569559,0.7906034465702757,0.3475240234284579,0.20534156673996318,1.0,0.7042829635548636,0.7594103015337388,0.9288078818283254,0.8380274913962428,0.7812000334652528,0.5734146386569562,0.4941271541064221,0.9787954997545979,-0.08396742695628594,0.4724382927996337,0.8517602504793664
Dvojnasobek.txt ,0.32223120883160916,0.5649572147583884,0.5172288281066613,0.4230217115244225,0.3502363984578889,0.3342554190045202,0.703049910178054,1.0,0.6977407149243606,0.5619514869490146,0.2785230199659493,-0.026315789473684213,-0.0468292905790848,0.2501953379644293,-0.046829290579084686,-0.048829463400060384,0.703049910178054,0.738704413501312,0.24256349468595467,0.7519781496301743,0.90831169351901,0.8920988776308878,0.5619514869490151,0.2744077900255025,0.8338120129829691,-0.037715714320235696,0.26629706611944187,0.42302171152442236
Faktorial.txt ,0.46182084825957337,0.3585792438550066,0.5347884200839771,0.2585578199627904,0.5019578060538683,0.47905391194027674,0.734714985867503,0.6977407149243606,1.0,0.8053872662568297,0.3991783968005116,0.6977407149243599,0.36913583036771397,0.3585792438550068,-0.0671156055214025,-0.06998224749626918,0.734714985867503,0.5808195514541082,0.5594852298429054,0.7898453712906474,0.7300577512759265,0.9461296371653203,0.8053872662568302,0.8443962839166311,0.7713291518222583,-0.0540540540540541,0.614227938285696,0.43241566442052914
Fibonacciho posloupnost.txt ,0.7993052538854533,0.25851824532964196,0.5785468513420388,0.17712297710801947,0.3849486769310527,0.5948118774794625,0.5734146386569559,0.5619514869490146,0.8053872662568297,1.0,0.4956353465280866,0.5619514869490162,0.27777777777777823,0.25851824532964185,0.2777777777777779,0.03861896309089944,0.5734146386569559,0.6024948132556819,0.43164490230802033,0.6232502388407506,0.5751885039685178,0.7620007620011418,0.6388888888888897,0.6750198628051757,0.6070006438706539,0.36913583036771336,0.4738791022072734,0.32103539600828496
