name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Trojuhelnik,Velke X,Vypis prvocisel
%,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0
*,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1,2,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
-,2,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
/,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==,0,1,0,1,4,1,0,1,0,0,1,0,0,0,1,1,2,0,1,0,0,2,0
for,1,0,0,2,2,1,0,0,1,1,1,0,1,3,1,0,2,1,1,1,1,2,0
if,0,1,1,1,1,1,0,1,0,0,2,0,1,0,1,1,2,0,1,0,0,1,0
is,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
print,0,1,0,3,3,1,1,0,2,1,0,0,0,2,0,0,2,0,1,1,1,1,0
while,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
