name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.67;1.00;0.00;1.33;0.00;0.00;0.00;0.00;0.33;0.67;0.33
Binarni zapis;0.00;0.00;0.00;1.33;0.67;1.33;0.33;1.00;1.00;0.00;1.00
Ciferny soucet;0.00;0.33;0.00;1.00;0.67;0.00;0.33;0.67;0.00;0.00;0.00
Cik-cak;0.00;1.67;0.00;0.33;0.00;2.67;0.00;1.00;1.00;0.00;1.00
Ctverec;2.00;1.33;0.00;1.33;0.00;2.67;0.00;0.00;2.00;1.67;0.67
Delitele;0.00;1.00;0.00;0.33;0.00;1.00;0.00;0.67;1.00;0.00;1.00
Dvojnasobek;0.00;0.00;0.00;0.33;0.00;1.00;0.00;0.00;0.00;0.33;0.00
Faktorial;0.33;0.67;0.00;0.33;0.00;0.00;0.00;0.00;0.33;1.00;0.33
Fibonacciho posloupnost;0.33;1.00;0.00;1.33;0.00;1.33;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.00;1.00;0.00;0.33;0.00;1.00;0.00;0.00;0.00;0.67;0.00
Nejdelsi slovo;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;1.33
Nejvetsi spolecny delitel;0.00;0.67;0.00;0.33;0.33;0.00;0.00;1.67;1.33;0.00;0.67
Palindrom;1.00;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;1.33
Pascaluv trojuhelnik;0.67;2.33;0.00;0.67;0.00;2.00;0.33;0.00;0.00;0.33;0.00
Pocet delitelu;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00
Prvni pismena;0.33;0.67;0.00;1.00;0.00;0.00;0.00;0.33;1.33;0.00;1.00
Sachovnice;0.00;2.00;0.00;0.67;0.00;3.00;0.00;1.67;1.00;0.00;1.00
Soucet;0.00;0.67;0.00;1.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Suda cisla;0.00;1.00;0.00;0.67;0.00;1.00;0.00;0.67;0.67;0.00;0.67
Tajna posloupnost;0.00;1.33;0.00;1.33;0.00;1.00;0.00;0.00;0.33;0.00;0.67
Vypis prvocisel;0.00;1.00;0.00;2.00;0.67;0.33;0.00;1.00;2.00;0.00;2.00
