name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Trojuhelnik,Velke X,Vypis prvocisel
+,1.33,1.33,1.00,0.33,2.33,0.33,0.67,0.33,1.00,0.00,0.00,0.67,0.00,0.67,1.00,1.00,0.67,1.33,0.33,1.33,0.00,0.33,2.33
-,1.67,0.00,0.00,0.00,2.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,1.33,0.67,0.00,0.33,0.00,0.00,0.00,0.00,0.33,1.00,0.00
*,2.67,0.00,0.00,0.00,4.33,0.00,0.67,1.00,0.00,1.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00
/,0.00,1.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
for,1.00,0.00,0.00,2.00,1.33,1.00,0.00,0.67,1.00,1.00,1.00,0.67,0.33,2.67,1.00,0.67,2.00,0.67,1.00,1.33,1.33,2.00,1.00
while,0.00,0.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
print,0.00,1.33,0.00,3.33,2.67,1.00,1.33,0.00,1.67,1.00,0.00,0.00,0.00,1.33,0.00,0.00,2.67,0.00,1.00,1.00,1.00,1.00,0.33
%,0.00,1.00,0.67,1.33,0.00,0.67,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,1.00,0.33,1.67,0.00,0.67,0.00,0.00,0.00,1.00
^,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
try:,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
if,0.33,1.00,1.00,1.33,0.67,1.00,0.00,0.33,0.00,0.00,1.33,1.00,1.00,0.00,1.00,1.00,1.33,0.00,0.67,0.67,0.00,1.00,2.00
 break,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
==,0.33,1.00,0.00,1.33,2.00,1.00,0.00,0.33,0.00,0.00,0.67,1.33,0.33,0.00,1.00,1.33,1.33,0.00,0.67,0.33,0.00,1.67,2.00
