name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo;1.50;1.75;2.75;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25
Binarni zapis;1.50;0.00;0.00;1.25;0.00;0.75;1.00;1.00;0.00;0.00;1.00;0.00;1.00
Ciferny soucet;1.00;0.00;0.00;1.00;0.25;0.75;0.00;0.50;0.00;0.00;1.00;0.00;0.00
Cik-cak;0.25;0.00;0.00;0.00;1.75;0.00;2.75;1.00;0.00;0.00;1.00;0.00;1.00
Ctverec;2.50;1.50;3.50;0.00;1.50;0.00;2.75;0.00;0.00;0.00;0.75;0.00;1.50
Delitele;0.25;0.00;0.00;0.00;1.00;0.00;1.25;0.75;0.00;0.00;1.00;0.00;1.00
Dvojnasobek;1.00;0.00;0.50;0.00;0.00;0.00;1.25;0.00;0.00;0.00;0.00;0.00;0.00
Faktorial;0.25;0.50;1.00;0.00;0.50;0.25;0.00;0.00;0.00;0.00;0.25;0.00;0.25
Fibonacciho posloupnost;1.25;0.25;0.00;0.00;1.00;0.00;1.50;0.00;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.25;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.75;0.00;0.75
Nejvetsi spolecny delitel;0.50;0.00;0.00;0.00;0.50;0.25;0.00;1.50;0.00;0.00;1.00;0.00;1.25
Palindrom;0.00;1.50;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;1.25;0.00;0.75
Pascaluv trojuhelnik;0.75;0.75;0.75;0.50;2.50;0.00;1.50;0.00;0.00;0.00;0.00;0.00;0.00
Pocet delitelu;1.25;0.00;0.00;0.50;1.00;0.00;0.00;1.00;0.00;0.00;1.25;0.00;0.75
Prvni pismena;1.00;0.25;0.00;0.00;0.75;0.00;0.00;0.25;0.00;0.00;1.00;0.00;1.25
Sachovnice;0.50;0.00;0.00;0.00;2.00;0.00;2.75;1.75;0.00;0.00;1.25;0.00;1.25
Soucet;1.25;0.25;0.25;0.25;0.50;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.25
Suda cisla;0.50;0.00;0.00;0.00;1.00;0.00;1.00;0.50;0.00;0.00;0.50;0.00;0.50
Tajna posloupnost;1.75;0.00;0.00;0.00;1.50;0.00;1.00;0.00;0.00;0.00;0.75;0.00;0.50
Trojuhelnik;0.00;0.50;0.50;0.00;1.25;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Velke X;0.75;0.75;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.75
Vypis prvocisel;2.25;0.00;0.00;0.00;1.00;0.75;0.25;1.00;0.00;0.00;2.00;0.00;2.00
