name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo ; 2;1;3;0;1;0;0;0;0;0;0;0;0
Binarni zapis ; 2;0;0;2;0;1;0;1;0;0;1;0;1
Ciferny soucet ; 1;0;0;1;0;1;0;0;0;0;1;0;0
Cik-cak ; 1;0;0;0;2;0;3;1;0;0;1;0;1
Ctverec ; 3;0;1;0;2;0;3;0;0;0;1;0;0
Delitele ; 0;0;0;0;1;0;2;1;0;0;1;0;1
Dvojnasobek ; 2;0;1;0;1;0;1;0;0;0;0;0;0
Faktorial ; 1;1;1;0;1;0;0;0;0;0;0;0;0
Fibonacciho posloupnost ; 2;0;0;2;1;0;3;0;0;0;0;0;0
Mocniny dvojky ; 1;0;2;0;1;0;1;0;0;0;0;0;0
Nejdelsi slovo ; 2;0;0;0;1;0;0;0;0;0;2;0;1
Nejvetsi spolecny delitel ; 0;0;0;0;1;0;0;2;0;0;1;0;2
Palindrom ; 0;2;0;2;1;0;0;0;0;0;1;0;0
Pascaluv trojuhelnik ; 0;1;2;1;2;0;0;1;0;0;0;0;0
Pocet delitelu ; 0;0;0;0;1;0;0;1;0;0;1;0;1
Prvni pismena ; 1;0;0;0;1;0;0;0;0;0;1;0;1
Sachovnice ; 1;0;0;0;2;0;3;2;0;0;1;0;1
Soucet ; 1;0;1;1;1;0;0;0;0;0;0;0;0
Suda cisla ; 0;0;1;1;1;0;1;0;0;0;0;0;0
Tajna posloupnost ; 3;0;0;0;2;0;1;0;0;0;1;0;1
Trojuhelnik ; 1;0;1;0;1;0;1;0;0;0;0;0;0
Velke X ; 0;0;0;0;2;0;1;0;0;0;1;0;1
Vypis prvocisel ; 3;0;0;0;1;1;0;1;0;0;2;0;2
