name;add;argcount;comparison;elif;else;end;eq;for;if;indexing;length;modulo;mult;nested3;print;quotation;rand;range;while;hhh
reverse;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.2;0.0;0.0;0.0;1.0;1.6;0.0;1.0;0.0;0.0
pyramid;1.0;1.0;1.0;0.0;1.0;1.6;0.0;1.6;1.0;0.0;3.6;0.0;1.0;1.0;2.0;1.6;0.0;1.6;0.0;0.0
digit_sum;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
two_dice_freq;1.6;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;3.7;0.0;0.0;0.0;1.0;1.0;1.6;2.0;0.0;0.0
my_sum;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
factorial_for;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
flatten;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;1.6;3.3;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
table_additions;2.3;1.0;0.0;0.0;0.0;2.8;0.0;2.3;0.0;0.0;4.2;0.0;0.0;1.0;3.3;2.8;0.0;2.3;0.0;0.0
divisors;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;3.2;1.0;0.0;1.0;1.6;1.0;0.0;1.0;0.0;0.0
random_student;1.6;1.6;1.0;0.0;0.0;0.0;1.0;1.6;1.6;0.0;4.0;1.0;1.0;1.0;1.0;1.0;2.3;1.6;0.0;0.0
sequence_inc;1.6;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.8;0.0;0.0;1.0;1.6;1.0;0.0;1.0;0.0;0.0
is_prime;1.6;1.0;0.0;0.0;0.0;0.0;1.6;1.0;1.0;0.0;3.7;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
convert_2_to_10;1.6;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3.6;0.0;1.0;1.0;1.0;1.6;0.0;0.0;0.0;0.0
empty_square;0.0;1.0;0.0;0.0;1.0;1.6;1.0;1.6;1.0;0.0;3.6;0.0;0.0;1.0;2.0;1.6;0.0;1.6;0.0;0.0
censorship;2.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;3.8;1.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0
insert_sort;1.6;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.6;3.8;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
first_letters;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;1.6;1.6;0.0;0.0;0.0;0.0
cross;0.0;1.0;0.0;0.0;1.0;1.6;1.0;1.6;1.0;0.0;3.5;0.0;2.0;1.0;2.0;1.6;0.0;1.6;0.0;0.0
divisors_count;1.6;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;3.3;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
bubble_sort;1.6;1.0;1.0;0.0;0.0;0.0;0.0;1.6;1.0;2.0;3.5;0.0;0.0;1.0;1.0;0.0;0.0;1.6;0.0;0.0
select_sort;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.6;1.0;2.0;3.7;0.0;0.0;1.0;1.0;0.0;0.0;1.6;0.0;0.0
capitalize;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.6;1.6;3.8;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0
my_max;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.6;1.6;3.6;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
string_zip;1.6;1.6;1.6;0.0;0.0;0.0;0.0;1.0;1.6;1.6;3.6;0.0;0.0;1.0;1.0;1.6;0.0;1.0;0.0;0.0
treasure_hunter;2.3;2.0;1.0;2.0;0.0;0.0;2.3;1.0;2.8;0.0;5.0;1.0;1.0;1.0;1.0;1.0;1.6;1.0;1.0;0.0
square;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.6;0.0;0.0;3.2;0.0;0.0;1.0;1.6;1.0;0.0;1.6;0.0;0.0
even_numbers;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.6;1.0;0.0;1.0;0.0;0.0
hanoi;0.0;2.3;1.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.2;0.0;0.0;0.0;1.0;1.6;0.0;0.0;0.0;0.0
numbers;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.6;1.0;0.0;1.0;0.0;0.0
average_points_distance;1.6;1.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.8;0.0;2.0;0.0;1.0;0.0;2.3;1.0;0.0;0.0
euclid;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
parity_test;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3.2;1.0;0.0;0.0;1.6;1.6;0.0;0.0;0.0;0.0
chessboard;1.0;1.0;0.0;0.0;1.0;1.6;1.0;1.6;1.0;0.0;3.6;1.0;0.0;1.0;2.0;1.6;0.0;1.6;0.0;0.0
dice_freq;1.6;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;3.6;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0
fibonacci;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.7;0.0;0.0;0.0;1.6;1.0;0.0;1.0;0.0;0.0
diff_a;1.6;1.6;1.6;1.0;1.0;0.0;1.6;1.6;3.3;0.0;4.2;0.0;0.0;0.0;2.0;2.8;0.0;0.0;0.0;0.0
powers;0.0;1.6;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.3;0.0;1.0;0.0;1.6;1.0;0.0;1.0;0.0;0.0
string_intersection;0.0;1.6;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.6;3.2;0.0;0.0;1.0;1.0;1.6;0.0;1.0;0.0;0.0
palindrom;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.3;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0
simple_addition;1.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
alternating;1.6;1.0;0.0;0.0;1.0;1.6;1.0;1.0;1.0;0.0;3.5;1.0;0.0;1.0;2.0;1.6;0.0;1.0;0.0;0.0
count_a;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;3.3;0.0;0.0;1.0;1.0;1.6;0.0;0.0;0.0;0.0
tuple_reverse;1.6;1.6;1.0;0.0;0.0;0.0;0.0;1.6;1.0;1.0;3.7;0.0;0.0;1.0;1.0;1.6;0.0;1.6;0.0;0.0
table_powers;2.0;1.0;0.0;0.0;0.0;2.8;0.0;2.3;0.0;0.0;4.2;0.0;1.0;1.0;3.3;2.8;0.0;2.3;0.0;0.0
drunkman_simulator;1.0;1.6;1.0;1.0;1.6;2.0;2.3;1.6;2.6;0.0;5.0;0.0;1.0;1.0;3.5;3.0;1.0;1.6;0.0;0.0
caesar;1.0;1.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.3;1.0;0.0;0.0;1.0;1.6;0.0;0.0;0.0;0.0
dummy;1.0;1.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.2;0.0;0.0;0.0;1.0;1.6;0.0;0.0;0.0;0.0
duplication;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.2;0.0;0.0;0.0;1.0;1.6;0.0;0.0;0.0;0.0
word_value;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.2;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
nonzero_product;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.3;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
tramway_waiting_more_than;1.0;2.0;1.6;0.0;0.0;0.0;0.0;1.0;1.6;0.0;3.7;1.0;1.6;1.0;1.6;1.6;1.0;1.0;0.0;0.0
vigenere;2.3;1.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.3;1.6;0.0;1.0;1.0;1.6;0.0;0.0;0.0;0.0
table_products;2.0;1.0;0.0;0.0;0.0;2.8;0.0;2.3;0.0;0.0;4.1;0.0;1.0;1.0;3.3;2.8;0.0;2.3;0.0;0.0
random_turns;1.6;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.7;1.0;0.0;0.0;1.0;0.0;2.3;0.0;1.0;0.0
table_produdcts;2.0;1.0;0.0;0.0;0.0;2.8;0.0;2.3;0.0;0.0;4.1;0.0;1.0;1.0;3.3;2.8;0.0;2.3;0.0;0.0
random_turnds;1.6;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.7;1.0;0.0;0.0;1.0;0.0;2.3;0.0;1.0;0.0
