name,Binarni cislo,Binarni zapis,Caesarova sifra,Ciferny soucet,Cik-cak,Ctverec,Delitele,Diamant,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Transpozicni sifra,Trojuhelnik,Velke X,Vypis prvocisel
 break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
%,0,2.321928094887362,0,1.5849625007211563,2.321928094887362,0,2.0,0,0,0,0,0,0,2.807354922057604,0,0,2.0,1.0,3.0,0,1.5849625007211563,0,2.0,0,0,2.0
*,2.584962500721156,0,0,0,0,3.9068905956085187,0,3.0,1.5849625007211563,2.0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,1.5849625007211563,0,0
+,1.5849625007211563,2.807354922057604,3.0,2.321928094887362,1.0,3.4594316186372978,1.0,3.3219280948873626,1.5849625007211563,1.0,2.584962500721156,0,0,1.5849625007211563,0,2.0,2.0,2.0,1.5849625007211563,2.321928094887362,1.5849625007211563,3.0,2.807354922057604,0,2.0,3.0
-,2.321928094887362,0,1.5849625007211563,0,0,2.807354922057604,0,2.584962500721156,0,1.0,1.0,0,0,0,2.807354922057604,2.0,0,1.0,0,0,0,0,1.5849625007211563,1.5849625007211563,2.0,0
/,0,2.584962500721156,0,2.321928094887362,0,0,0,0,0,0,0,0,0,0,0,1.5849625007211563,0,0,0,0,0,0,0,0,0,0
==,1.0,2.321928094887362,2.0,0,2.321928094887362,2.807354922057604,2.321928094887362,0,0,1.0,0,0,1.5849625007211563,2.584962500721156,2.0,0,2.0,2.321928094887362,2.584962500721156,0,1.5849625007211563,1.5849625007211563,2.0,0,3.0,2.807354922057604
^,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for,1.5849625007211563,0,2.0,1.0,3.0,2.807354922057604,2.321928094887362,2.584962500721156,0,1.5849625007211563,2.321928094887362,2.0,2.0,1.5849625007211563,1.0,3.4594316186372978,2.0,1.5849625007211563,3.1699250014423126,1.5849625007211563,2.321928094887362,2.807354922057604,2.0,2.584962500721156,3.1699250014423126,2.0
if,1.0,2.321928094887362,2.807354922057604,2.321928094887362,2.321928094887362,2.0,2.321928094887362,1.0,0,1.0,0,0,2.321928094887362,2.321928094887362,2.584962500721156,0,2.0,2.0,2.584962500721156,0,1.5849625007211563,2.0,2.0,0,2.321928094887362,2.807354922057604
print,0,2.321928094887362,0,0,3.5849625007211565,3.5849625007211565,2.584962500721156,2.321928094887362,2.584962500721156,0,2.807354922057604,2.321928094887362,0,0,0,2.807354922057604,0,0,3.5849625007211565,0,2.321928094887362,2.321928094887362,0,2.321928094887362,2.321928094887362,1.0
try:,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
while,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,2.0
