name; break;%;*;+;-;/;==;^;for;if;print;try:;while
Binarni cislo;0;0;3.1699250014423126;2.321928094887362;2.584962500721156;0;1.0;0;2.0;1.0;0;1.0;0
Binarni zapis;0;2.584962500721156;0;3.0;0;3.0;2.321928094887362;0;0;2.321928094887362;2.584962500721156;0;2.321928094887362
Caesarova sifra;0;0;0;3.3219280948873626;2.0;0;2.0;0;2.321928094887362;3.0;1.0;0;0
Ciferny soucet;0;1.5849625007211563;0;2.584962500721156;0;2.807354922057604;0;0;1.0;2.584962500721156;0;0;2.321928094887362
Cik-cak;0;2.807354922057604;0;1.0;0;0;2.584962500721156;0;3.3219280948873626;2.807354922057604;4.0;0;0
Ctverec;0;0;4.0;3.5849625007211565;3.1699250014423126;0;2.807354922057604;0;3.1699250014423126;2.321928094887362;3.9068905956085187;0;0
Delitele;0;2.321928094887362;1.0;1.0;0;0;2.584962500721156;0;2.584962500721156;2.584962500721156;2.807354922057604;0;0
Diamant;0;0;3.4594316186372978;3.5849625007211565;2.807354922057604;0;0;0;2.807354922057604;1.0;2.584962500721156;0;0
Dvojnasobek;0;0;1.5849625007211563;2.321928094887362;0;0;0;0;0;0;2.807354922057604;0;0
Faktorial;0;0;2.321928094887362;1.0;1.5849625007211563;0;1.0;0;1.5849625007211563;1.0;0;0;1.0
Fibonacciho posloupnost;0;0;0;2.807354922057604;1.5849625007211563;0;0;0;2.584962500721156;0;3.3219280948873626;0;0
Mocniny dvojky;0;0;2.321928094887362;1.0;0;0;0;0;2.321928094887362;0;2.584962500721156;0;0
Nejdelsi slovo;0;0;0;0;0;0;2.0;0;2.321928094887362;3.0;0;0;0
Nejvetsi spolecny delitel;0;2.807354922057604;0;1.5849625007211563;0;0;2.584962500721156;0;1.5849625007211563;2.321928094887362;0;0;1.0
Palindrom;0;0;0;0;3.1699250014423126;1.0;2.0;0;1.5849625007211563;2.807354922057604;0;0;0
Pascaluv trojuhelnik;0;1.0;2.584962500721156;2.0;2.321928094887362;2.0;0;0;3.700439718141092;0;2.807354922057604;0;0
Pocet delitelu;0;2.321928094887362;0;2.584962500721156;0;1.5849625007211563;2.0;0;2.321928094887362;2.584962500721156;0;0;0
Prvni pismena;0;1.0;0;2.321928094887362;1.0;0;2.584962500721156;0;2.0;2.321928094887362;0;0;0
Sachovnice;0;3.5849625007211565;0;1.5849625007211563;0;0;3.3219280948873626;0;3.4594316186372978;2.807354922057604;3.9068905956085187;0;0
Soucet;0;0;1.0;2.584962500721156;0;1.0;0;0;1.5849625007211563;0;0;0;0
Suda cisla;0;1.5849625007211563;1.0;1.5849625007211563;0;1.0;1.5849625007211563;0;2.584962500721156;1.5849625007211563;2.584962500721156;0;0
Tajna posloupnost;0;0;0;3.3219280948873626;0;0;1.5849625007211563;0;3.1699250014423126;2.321928094887362;2.584962500721156;0;0
Transpozicni sifra;0;2.0;0;3.0;2.321928094887362;0;2.0;0;2.0;2.0;0;0;0
Trojuhelnik;0;0;1.5849625007211563;0;1.5849625007211563;0;0;0;3.0;0;2.584962500721156;0;0
Velke X;0;1.0;1.0;2.321928094887362;2.321928094887362;2.321928094887362;3.1699250014423126;0;3.3219280948873626;2.584962500721156;2.321928094887362;0;0
Vypis prvocisel;0;2.321928094887362;0;3.3219280948873626;0;0;3.1699250014423126;0;2.321928094887362;3.1699250014423126;1.0;0;2.0
