name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.00;1.50;0.50;0.00;1.00;0.00;0.00;0.00;0.50;0.50;0.00
Binarni zapis;2.00;0.00;0.00;0.50;0.00;1.00;1.00;1.00;1.00;1.00;0.00
Ciferny soucet;1.00;0.00;0.00;0.50;0.00;1.00;0.00;1.00;0.00;0.00;0.00
Cik-cak;0.50;0.00;0.00;0.00;2.00;0.00;3.50;1.50;1.50;1.50;0.00
Ctverec;1.00;2.00;1.50;0.00;1.50;0.00;3.00;0.00;0.50;2.00;0.00
Delitele;0.50;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00
Dvojnasobek;0.50;0.00;0.50;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
Faktorial;0.50;0.50;1.00;0.00;0.50;0.00;0.00;0.00;0.50;0.50;0.00
Fibonacciho posloupnost;1.00;0.50;0.00;0.00;1.00;0.00;1.50;0.00;0.00;0.00;0.00
Mocniny dvojky;0.00;0.00;0.50;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.50;0.00
Nejvetsi spolecny delitel;0.50;0.00;0.00;0.00;0.50;0.50;0.00;1.50;0.50;1.00;0.00
Palindrom;0.00;1.50;0.00;0.00;0.50;0.00;0.00;0.00;1.00;0.00;0.00
Pascaluv trojuhelnik;0.50;0.50;0.00;0.00;2.50;0.00;2.00;0.00;0.00;0.00;0.00
Pocet delitelu;1.50;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00
Prvni pismena;1.50;0.50;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.50;0.00
Sachovnice;0.50;0.00;0.00;0.00;2.00;0.00;3.00;1.50;1.00;1.00;0.00
Soucet;1.50;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Suda cisla;0.50;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00
Tajna posloupnost;2.00;0.00;0.00;0.00;1.50;0.00;1.00;0.00;1.00;0.50;0.00
Vypis prvocisel;2.00;0.00;0.00;0.00;1.00;0.50;0.50;1.00;2.00;2.00;0.00
