name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Vypis prvocisel
Add,1.00,1.75,1.00,0.25,1.50,0.75,1.00,0.25,1.25,0.00,0.00,0.50,0.00,1.00,1.50,1.25,0.50,1.25,0.75,2.25,2.25
Sub,1.25,0.00,0.25,0.00,2.00,0.00,0.00,0.50,0.50,0.25,0.00,0.00,1.00,0.75,0.00,0.50,0.00,0.25,0.00,0.00,0.00
Mult,0.50,0.00,0.00,0.00,1.25,0.00,0.75,1.00,0.00,0.75,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.25,0.25,0.00,0.00
Div,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.25,0.25,0.00,0.00
For,1.00,0.00,0.25,1.75,1.50,1.00,0.00,0.50,1.00,1.00,1.25,0.75,0.50,2.50,0.75,1.00,2.00,0.50,1.00,1.75,1.00
While,0.00,1.00,0.75,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
Print,0.00,0.75,0.00,2.75,2.25,1.25,1.00,0.00,1.75,1.50,0.00,0.00,0.00,1.75,0.00,0.00,3.00,0.00,1.00,1.00,0.50
Mod,0.00,1.00,1.00,1.00,0.00,1.00,0.25,0.00,0.00,0.00,0.00,1.75,0.00,0.00,1.00,0.00,2.25,0.00,0.50,0.00,1.00
If,0.50,0.75,0.00,1.00,0.75,1.00,0.00,0.25,0.00,0.00,1.50,1.00,1.00,0.00,0.75,0.75,1.00,0.25,0.50,1.00,2.00
Eq,0.50,0.75,0.00,1.00,2.50,1.00,0.00,0.25,0.00,0.00,0.75,1.50,0.25,0.00,0.75,1.00,1.75,0.25,0.50,0.50,2.00
Is,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
