{'Sub': 1, 'For': 3, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 9
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 7
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 2, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 7
{'Sub': 1, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 2, 'If': 0} 5
{'Sub': 1, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 5
{'Sub': 0, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 4
{'Sub': 0, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 3
{'Sub': 0, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 2
{'Sub': 1, 'For': 0, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 0, 'If': 2} 2
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 0, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 2, 'If': 0} 2
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 0, 'If': 1} 1
{'Sub': 1, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 1, 'For': 3, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 1, 'Mult': 1, 'If': 1} 1
{'Sub': 4, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 1
{'Sub': 3, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 1, 'Mod': 0, 'Eq': 1, 'Mult': 2, 'If': 1} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 1, 'Mult': 1, 'If': 1} 1
{'Sub': 0, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
