{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 1, 'Eq': 1, 'Mult': 0, 'If': 1} 623
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 1, 'Eq': 1, 'Mult': 0, 'If': 1} 179
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 118
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 88
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 63
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 47
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 27
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 14
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 12
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 11
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 2, 'Eq': 2, 'Mult': 0, 'If': 2} 10
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 1, 'Eq': 1, 'Mult': 0, 'If': 1} 7
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 1, 'Eq': 0, 'Mult': 0, 'If': 1} 6
{'Sub': 0, 'For': 0, 'Is': 0, 'Add': 1, 'While': 1, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 6
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 5
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 2, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 4
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 1, 'Eq': 1, 'Mult': 0, 'If': 1} 3
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 1, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 3
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 1, 'Mult': 0, 'If': 0} 3
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 1, 'Eq': 1, 'Mult': 0, 'If': 1} 3
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 1, 'Eq': 0, 'Mult': 0, 'If': 0} 3
